root,node,count
West Drive & Prospect Park West,West Drive & Prospect Park West,12634
Central Park S & 6 Ave,Central Park S & 6 Ave,6834
12 Ave & W 40 St,12 Ave & W 40 St,6569
12 Ave & W 125 St,12 Ave & W 125 St,6216
Broadway & W 60 St,Broadway & W 60 St,5890
5 Ave & E 73 St,5 Ave & E 73 St,5623
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,5592
5 Ave & E 88 St,5 Ave & E 88 St,5464
12 Ave & W 40 St,West St & Chambers St,5442
Grand Army Plaza & Plaza St West,Grand Army Plaza & Plaza St West,5300
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,5031
1 Ave & E 62 St,1 Ave & E 68 St,4979
W 21 St & 6 Ave,9 Ave & W 22 St,4884
Central Park West & W 72 St,Central Park West & W 72 St,4832
3 St & Prospect Park West,3 St & Prospect Park West,4712
West St & Chambers St,West St & Chambers St,4677
12 Ave & W 40 St,Pier 40 - Hudson River Park,4467
Old Fulton St,Old Fulton St,4393
Roosevelt Island Tramway,Roosevelt Island Tramway,4334
Central Park West & W 68 St,Central Park West & W 68 St,4312
7 Ave & Central Park South,7 Ave & Central Park South,4305
West St & Chambers St,12 Ave & W 40 St,4265
Pier 40 - Hudson River Park,12 Ave & W 40 St,4058
FDR Drive & E 35 St,FDR Drive & E 35 St,4016
Franklin Ave & Empire Blvd,Franklin Ave & Empire Blvd,3852
West St & Chambers St,Pier 40 - Hudson River Park,3829
Pier 40 - Hudson River Park,West St & Chambers St,3733
West St & Liberty St,West St & Liberty St,3672
11 Ave & W 41 St,11 Ave & W 41 St,3653
Lexington Ave & E 26 St,Lexington Ave & E 26 St,3589
Lenox Ave & W 111 St,Lenox Ave & W 111 St,3511
W 169 St & Fort Washington Ave,W 169 St & Fort Washington Ave,3501
E 10 St & Avenue A,E 10 St & Avenue A,3476
Atlantic Ave & Furman St,Atlantic Ave & Furman St,3470
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,3435
E 13 St & Avenue A,E 13 St & Avenue A,3386
Little West St & 1 Pl,Little West St & 1 Pl,3286
Center Blvd & 51 Ave,Center Blvd & 51 Ave,3272
W 22 St & 10 Ave,W 22 St & 8 Ave,3164
E 32 St & Park Ave,E 33 St & 1 Ave,3138
Christopher St & Greenwich St,Christopher St & Greenwich St,3135
1 Ave & E 68 St,1 Ave & E 78 St,3127
S 5 Pl & S 5 St,S 5 Pl & S 5 St,3090
11 Ave & W 41 St,8 Ave & W 33 St,3014
Kent Ave & N 7 St,Kent Ave & N 7 St,3003
Clinton St & Grand St,Henry St & Grand St,2965
E 102 St & 1 Ave,E 102 St & 1 Ave,2960
Roosevelt Island Tramway,Motorgate,2944
Soissons Landing,Soissons Landing,2937
Yankee Ferry Terminal,Yankee Ferry Terminal,2925
W 21 St & 6 Ave,W 15 St & 7 Ave,2913
Soissons Landing,Picnic Point,2901
Picnic Point,Soissons Landing,2867
Motorgate,Roosevelt Island Tramway,2844
Astoria Park S & Shore Blvd,Astoria Park S & Shore Blvd,2817
Cherry St,Cherry St,2816
9 Ave & W 22 St,W 21 St & 6 Ave,2804
W 21 St & 6 Ave,W 22 St & 10 Ave,2796
West Drive & Prospect Park West,Grand Army Plaza & Plaza St West,2718
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,2702
