State,2020,2019
116,879,1927
112,1019,2170
108,1097,2334
104,1170,2524
100,1416,3044
96,1579,3255
92,1815,3796
88,1975,4334
84,2329,4947
80,2671,5693
76,3233,6724
72,3876,8070
68,4521,9548
64,5425,11654
60,7206,14761
56,10157,19010
52,13357,25359
48,18634,35566
44,34032,57904
40,65739,96731
36,95288,131656
32,133900,175328
28,206264,245279
24,294917,316930
20,395677,380662
16,551196,477314
12,843366,655465
8,1365149,964151
4,1954379,1304967
0,888035,624051
